Model Name,Granularity,Magnification,Modality,Pretrain,Frozen,Vote,Accuracy
ResNet50,865,20x,texture,pretrained,frozen,novote,20.71
ResNet50,865,20x,texture,pretrained,frozen,vote,24.05
ResNet50,865,20x,heightmap,scratch,unfrozen,novote,12.5
ResNet50,865,20x,heightmap,scratch,unfrozen,vote,15.82
ResNet50,865,20x,heightmap,scratch,frozen,novote,37.93
ResNet50,865,20x,heightmap,scratch,frozen,vote,27.85
ResNet50,865,20x,heightmap,pretrained,unfrozen,novote,9.0
ResNet50,865,20x,heightmap,pretrained,unfrozen,vote,11.39
ResNet50,865,20x,heightmap,pretrained,frozen,novote,24.71
ResNet50,865,20x,heightmap,pretrained,frozen,vote,27.85
ResNet50,865,20x+50x,texture,scratch,unfrozen,novote,25.5
ResNet50,865,20x+50x,texture,scratch,unfrozen,vote,31.67
ResNet50,865,20x+50x,texture,scratch,frozen,novote,25.0
ResNet50,865,20x+50x,texture,scratch,frozen,vote,31.67
ResNet50,865,20x+50x,texture,pretrained,unfrozen,novote,12.5
ResNet50,865,20x+50x,texture,pretrained,unfrozen,vote,4.17
ResNet50,865,20x+50x,texture,pretrained,frozen,novote,29.0
ResNet50,865,20x+50x,texture,pretrained,frozen,vote,35.0
ResNet50,865,20x+50x,heightmap,scratch,unfrozen,novote,22.5
ResNet50,865,20x+50x,heightmap,scratch,unfrozen,vote,26.67
ResNet50,865,20x+50x,heightmap,scratch,frozen,novote,26.0
ResNet50,865,20x+50x,heightmap,scratch,frozen,vote,27.5
ResNet50,865,20x+50x,heightmap,pretrained,unfrozen,novote,22.5
ResNet50,865,20x+50x,heightmap,pretrained,unfrozen,vote,27.5
ResNet50,865,20x+50x,heightmap,pretrained,frozen,novote,47.5
ResNet50,865,20x+50x,heightmap,pretrained,frozen,vote,50.83
ResNet50,865,50x,texture,scratch,unfrozen,novote,50.5
ResNet50,865,50x,texture,scratch,unfrozen,vote,39.42
ResNet50,865,50x,texture,scratch,frozen,novote,50.5
ResNet50,865,50x,texture,scratch,frozen,vote,41.35
ResNet50,865,50x,texture,pretrained,unfrozen,novote,54.0
ResNet50,865,50x,texture,pretrained,unfrozen,vote,24.04
ResNet50,865,50x,texture,pretrained,frozen,novote,64.0
ResNet50,865,50x,texture,pretrained,frozen,vote,33.65
ResNet50,865,50x,heightmap,scratch,unfrozen,novote,65.5
ResNet50,865,50x,heightmap,scratch,unfrozen,vote,33.65
ResNet50,865,50x,heightmap,scratch,frozen,novote,50.5
ResNet50,865,50x,heightmap,scratch,frozen,vote,27.88
ResNet50,865,50x,heightmap,pretrained,unfrozen,novote,50.5
ResNet50,865,50x,heightmap,pretrained,unfrozen,vote,28.85
ResNet50,865,50x,heightmap,pretrained,frozen,novote,74.0
ResNet50,865,50x,heightmap,pretrained,frozen,vote,53.85
ConvNextLarge,512,20x,texture,scratch,unfrozen,novote,26.2
ConvNextLarge,512,20x,texture,scratch,unfrozen,vote,27.72
ConvNextLarge,512,20x,texture,scratch,frozen,novote,30.0
ConvNextLarge,512,20x,texture,scratch,frozen,vote,32.38
ConvNextLarge,512,20x,texture,pretrained,unfrozen,novote,26.2
ConvNextLarge,512,20x,texture,pretrained,unfrozen,vote,27.72
ConvNextLarge,512,20x,texture,pretrained,frozen,novote,42.63
ConvNextLarge,512,20x,texture,pretrained,frozen,vote,45.61
ConvNextLarge,512,20x,heightmap,scratch,unfrozen,novote,26.2
ConvNextLarge,512,20x,heightmap,scratch,unfrozen,vote,27.72
ConvNextLarge,512,20x,heightmap,scratch,frozen,novote,27.66
ConvNextLarge,512,20x,heightmap,scratch,frozen,vote,34.92
ConvNextLarge,512,20x,heightmap,pretrained,unfrozen,novote,26.2
ConvNextLarge,512,20x,heightmap,pretrained,unfrozen,vote,27.72
ConvNextLarge,512,20x,heightmap,pretrained,frozen,novote,29.66
ConvNextLarge,512,20x,heightmap,pretrained,frozen,vote,34.18
ConvNextLarge,512,20x+50x,texture,scratch,unfrozen,novote,49.33
ConvNextLarge,512,20x+50x,texture,scratch,unfrozen,vote,49.26
ConvNextLarge,512,20x+50x,texture,scratch,frozen,novote,51.5
ConvNextLarge,512,20x+50x,texture,scratch,frozen,vote,38.24
ConvNextLarge,512,20x+50x,texture,pretrained,unfrozen,novote,24.0
ConvNextLarge,512,20x+50x,texture,pretrained,unfrozen,vote,35.29
ConvNextLarge,512,20x+50x,texture,pretrained,frozen,novote,54.83
ConvNextLarge,512,20x+50x,texture,pretrained,frozen,vote,55.88
ConvNextLarge,512,20x+50x,heightmap,scratch,unfrozen,novote,38.17
ConvNextLarge,512,20x+50x,heightmap,scratch,unfrozen,vote,44.12
ConvNextLarge,512,20x+50x,heightmap,scratch,frozen,novote,36.17
ConvNextLarge,512,20x+50x,heightmap,scratch,frozen,vote,36.76
ConvNextLarge,512,20x+50x,heightmap,pretrained,unfrozen,novote,37.17
ConvNextLarge,512,20x+50x,heightmap,pretrained,unfrozen,vote,35.29
ConvNextLarge,512,20x+50x,heightmap,pretrained,frozen,novote,67.67
ConvNextLarge,512,20x+50x,heightmap,pretrained,frozen,vote,58.09
ConvNextLarge,512,50x,texture,scratch,unfrozen,novote,37.71
ConvNextLarge,512,50x,texture,scratch,unfrozen,vote,46.15
ConvNextLarge,512,50x,texture,scratch,frozen,novote,32.07
ConvNextLarge,512,50x,texture,scratch,frozen,vote,31.73
ConvNextLarge,512,50x,texture,pretrained,unfrozen,novote,27.48
ConvNextLarge,512,50x,texture,pretrained,unfrozen,vote,30.77
ConvNextLarge,512,50x,texture,pretrained,frozen,novote,45.23
ConvNextLarge,512,50x,texture,pretrained,frozen,vote,52.88
ConvNextLarge,512,50x,heightmap,scratch,unfrozen,novote,27.23
ConvNextLarge,512,50x,heightmap,scratch,unfrozen,vote,27.88
ConvNextLarge,512,50x,heightmap,scratch,frozen,novote,26.82
ConvNextLarge,512,50x,heightmap,scratch,frozen,vote,31.73
ConvNextLarge,512,50x,heightmap,pretrained,unfrozen,novote,12.05
ConvNextLarge,512,50x,heightmap,pretrained,unfrozen,vote,8.65
ConvNextLarge,512,50x,heightmap,pretrained,frozen,novote,51.52
ConvNextLarge,512,50x,heightmap,pretrained,frozen,vote,57.69
ConvNextLarge,256,20x,texture,scratch,unfrozen,novote,29.06
ConvNextLarge,256,20x,texture,scratch,unfrozen,vote,29.68
ConvNextLarge,256,20x,texture,scratch,frozen,novote,37.61
ConvNextLarge,256,20x,texture,scratch,frozen,vote,43.54
ConvNextLarge,256,20x,texture,pretrained,unfrozen,novote,25.39
ConvNextLarge,256,20x,texture,pretrained,unfrozen,vote,26.92
ConvNextLarge,256,20x,texture,pretrained,frozen,novote,36.18
ConvNextLarge,256,20x,texture,pretrained,frozen,vote,40.64
ConvNextLarge,256,20x,heightmap,scratch,unfrozen,novote,29.94
ConvNextLarge,256,20x,heightmap,scratch,unfrozen,vote,30.14
ConvNextLarge,256,20x,heightmap,scratch,frozen,novote,24.23
ConvNextLarge,256,20x,heightmap,scratch,frozen,vote,29.34
ConvNextLarge,256,20x,heightmap,pretrained,unfrozen,novote,29.94
ConvNextLarge,256,20x,heightmap,pretrained,unfrozen,vote,30.14
ConvNextLarge,256,20x,heightmap,pretrained,frozen,novote,33.27
ConvNextLarge,256,20x,heightmap,pretrained,frozen,vote,33.74
ConvNextLarge,256,20x+50x,texture,scratch,unfrozen,novote,44.39
ConvNextLarge,256,20x+50x,texture,scratch,unfrozen,vote,42.05
ConvNextLarge,256,20x+50x,texture,scratch,frozen,novote,48.36
ConvNextLarge,256,20x+50x,texture,scratch,frozen,vote,51.59
ConvNextLarge,256,20x+50x,texture,pretrained,unfrozen,novote,37.71
ConvNextLarge,256,20x+50x,texture,pretrained,unfrozen,vote,40.0
ConvNextLarge,256,20x+50x,texture,pretrained,frozen,novote,56.14
ConvNextLarge,256,20x+50x,texture,pretrained,frozen,vote,66.82
ConvNextLarge,256,20x+50x,heightmap,scratch,unfrozen,novote,40.39
ConvNextLarge,256,20x+50x,heightmap,scratch,unfrozen,vote,40.0
ConvNextLarge,256,20x+50x,heightmap,scratch,frozen,novote,35.82
ConvNextLarge,256,20x+50x,heightmap,scratch,frozen,vote,43.41
ConvNextLarge,256,20x+50x,heightmap,pretrained,unfrozen,novote,37.71
ConvNextLarge,256,20x+50x,heightmap,pretrained,unfrozen,vote,40.0
ConvNextLarge,256,20x+50x,heightmap,pretrained,frozen,novote,53.18
ConvNextLarge,256,20x+50x,heightmap,pretrained,frozen,vote,61.59
ConvNextLarge,256,50x,texture,scratch,unfrozen,novote,32.84
ConvNextLarge,256,50x,texture,scratch,unfrozen,vote,31.73
ConvNextLarge,256,50x,texture,scratch,frozen,novote,42.7
ConvNextLarge,256,50x,texture,scratch,frozen,vote,46.15
ConvNextLarge,256,50x,texture,pretrained,unfrozen,novote,31.51
ConvNextLarge,256,50x,texture,pretrained,unfrozen,vote,30.77
ConvNextLarge,256,50x,texture,pretrained,frozen,novote,50.57
ConvNextLarge,256,50x,texture,pretrained,frozen,vote,54.81
ConvNextLarge,256,50x,heightmap,scratch,unfrozen,novote,42.96
ConvNextLarge,256,50x,heightmap,scratch,unfrozen,vote,50.0
ConvNextLarge,256,50x,heightmap,scratch,frozen,novote,24.54
ConvNextLarge,256,50x,heightmap,scratch,frozen,vote,32.69
ConvNextLarge,256,50x,heightmap,pretrained,unfrozen,novote,10.9
ConvNextLarge,256,50x,heightmap,pretrained,unfrozen,vote,4.81
ConvNextLarge,256,50x,heightmap,pretrained,frozen,novote,54.15
ConvNextLarge,256,50x,heightmap,pretrained,frozen,vote,60.58
ConvNextLarge,865,20x,texture,scratch,unfrozen,novote,29.11
ConvNextLarge,865,20x,texture,scratch,unfrozen,vote,29.11
ConvNextLarge,865,20x,texture,scratch,frozen,novote,34.18
ConvNextLarge,865,20x,texture,scratch,frozen,vote,34.18
ConvNextLarge,865,20x,texture,pretrained,unfrozen,novote,27.85
ConvNextLarge,865,20x,texture,pretrained,unfrozen,vote,27.85
ConvNextLarge,865,20x,texture,pretrained,frozen,novote,48.1
ConvNextLarge,865,20x,texture,pretrained,frozen,vote,48.1
ConvNextLarge,865,20x,heightmap,scratch,unfrozen,novote,27.85
ConvNextLarge,865,20x,heightmap,scratch,unfrozen,vote,27.85
ConvNextLarge,865,20x,heightmap,scratch,frozen,novote,28.48
ConvNextLarge,865,20x,heightmap,scratch,frozen,vote,28.48
ConvNextLarge,865,20x,heightmap,pretrained,unfrozen,novote,27.85
ConvNextLarge,865,20x,heightmap,pretrained,unfrozen,vote,27.85
ConvNextLarge,865,20x,heightmap,pretrained,frozen,novote,44.3
ConvNextLarge,865,20x,heightmap,pretrained,frozen,vote,44.3
ConvNextLarge,865,20x+50x,texture,scratch,unfrozen,novote,40.83
ConvNextLarge,865,20x+50x,texture,scratch,unfrozen,vote,40.83
ConvNextLarge,865,20x+50x,texture,scratch,frozen,novote,37.5
ConvNextLarge,865,20x+50x,texture,scratch,frozen,vote,37.5
ConvNextLarge,865,20x+50x,texture,pretrained,unfrozen,novote,29.17
ConvNextLarge,865,20x+50x,texture,pretrained,unfrozen,vote,29.17
ConvNextLarge,865,20x+50x,texture,pretrained,frozen,novote,52.5
ConvNextLarge,865,20x+50x,heightmap,scratch,unfrozen,novote,27.5
ConvNextLarge,865,20x+50x,heightmap,scratch,unfrozen,vote,27.5
ConvNextLarge,865,20x+50x,heightmap,scratch,frozen,novote,32.5
ConvNextLarge,865,20x+50x,heightmap,scratch,frozen,vote,32.5
ConvNextLarge,865,20x+50x,heightmap,pretrained,unfrozen,novote,26.67
ConvNextLarge,865,20x+50x,heightmap,pretrained,unfrozen,vote,26.67
ConvNextLarge,865,20x+50x,heightmap,pretrained,frozen,novote,60.0
ConvNextLarge,865,20x+50x,heightmap,pretrained,frozen,vote,60.0
ConvNextLarge,865,50x,texture,scratch,unfrozen,novote,44.23
ConvNextLarge,865,50x,texture,scratch,unfrozen,vote,44.23
ConvNextLarge,865,50x,texture,scratch,frozen,novote,46.15
ConvNextLarge,865,50x,texture,scratch,frozen,vote,46.15
ConvNextLarge,865,50x,texture,pretrained,unfrozen,novote,19.23
ConvNextLarge,865,50x,texture,pretrained,unfrozen,vote,19.23
ConvNextLarge,865,50x,texture,pretrained,frozen,novote,53.85
ConvNextLarge,865,50x,texture,pretrained,frozen,vote,53.85
ConvNextLarge,865,50x,heightmap,scratch,unfrozen,novote,34.62
ConvNextLarge,865,50x,heightmap,scratch,unfrozen,vote,34.62
ConvNextLarge,865,50x,heightmap,scratch,frozen,novote,27.88
ConvNextLarge,865,50x,heightmap,scratch,frozen,vote,27.88
ConvNextLarge,865,50x,heightmap,pretrained,unfrozen,novote,27.88
ConvNextLarge,865,50x,heightmap,pretrained,unfrozen,vote,27.88
ConvNextLarge,865,50x,heightmap,pretrained,frozen,novote,58.65
ConvNextLarge,865,50x,heightmap,pretrained,frozen,vote,58.65
ConvNextTiny,512,20x,texture,scratch,unfrozen,novote,29.84
ConvNextTiny,512,20x,texture,scratch,unfrozen,vote,29.74
ConvNextTiny,512,20x,texture,scratch,frozen,novote,30.21
ConvNextTiny,512,20x,texture,scratch,frozen,vote,34.07
ConvNextTiny,512,20x,texture,pretrained,unfrozen,novote,26.2
ConvNextTiny,512,20x,texture,pretrained,unfrozen,vote,27.72
ConvNextTiny,512,20x,texture,pretrained,frozen,novote,40.78
ConvNextTiny,512,20x,texture,pretrained,frozen,vote,40.53
ConvNextTiny,512,20x,heightmap,scratch,unfrozen,novote,40.92
ConvNextTiny,512,20x,heightmap,scratch,unfrozen,vote,45.71
ConvNextTiny,512,20x,heightmap,scratch,frozen,novote,23.81
ConvNextTiny,512,20x,heightmap,scratch,frozen,vote,24.02
ConvNextTiny,512,20x,heightmap,pretrained,unfrozen,novote,26.2
ConvNextTiny,512,20x,heightmap,pretrained,unfrozen,vote,27.72
ConvNextTiny,512,20x,heightmap,pretrained,frozen,novote,38.53
ConvNextTiny,512,20x,heightmap,pretrained,frozen,vote,40.53
ConvNextTiny,512,20x+50x,texture,scratch,unfrozen,novote,36.25
ConvNextTiny,512,20x+50x,texture,scratch,unfrozen,vote,36.75
ConvNextTiny,512,20x+50x,texture,scratch,frozen,novote,49.25
ConvNextTiny,512,20x+50x,texture,scratch,frozen,vote,49.5
ConvNextTiny,512,20x+50x,texture,pretrained,unfrozen,novote,28.8
ConvNextTiny,512,20x+50x,texture,pretrained,unfrozen,vote,35.29
ConvNextTiny,512,20x+50x,texture,pretrained,frozen,novote,59.3
ConvNextTiny,512,20x+50x,texture,pretrained,frozen,vote,58.09
ConvNextTiny,512,20x+50x,heightmap,scratch,unfrozen,novote,44.7
ConvNextTiny,512,20x+50x,heightmap,scratch,unfrozen,vote,44.12
ConvNextTiny,512,20x+50x,heightmap,scratch,frozen,novote,34.2
ConvNextTiny,512,20x+50x,heightmap,scratch,frozen,vote,44.25
ConvNextTiny,512,20x+50x,heightmap,pretrained,unfrozen,novote,36.0
ConvNextTiny,512,20x+50x,heightmap,pretrained,unfrozen,vote,36.0
ConvNextTiny,512,20x+50x,heightmap,pretrained,frozen,novote,55.25
ConvNextTiny,512,20x+50x,heightmap,pretrained,frozen,vote,60.25
ConvNextTiny,512,50x,texture,scratch,unfrozen,novote,35.75
ConvNextTiny,512,50x,texture,scratch,unfrozen,vote,30.77
ConvNextTiny,512,50x,texture,scratch,frozen,novote,35.5
ConvNextTiny,512,50x,texture,scratch,frozen,vote,31.73
ConvNextTiny,512,50x,texture,pretrained,unfrozen,novote,35.75
ConvNextTiny,512,50x,texture,pretrained,unfrozen,vote,46.15
ConvNextTiny,512,50x,texture,pretrained,frozen,novote,49.83
ConvNextTiny,512,50x,texture,pretrained,frozen,vote,54.81
ConvNextTiny,512,50x,heightmap,scratch,unfrozen,novote,25.75
ConvNextTiny,512,50x,heightmap,scratch,unfrozen,vote,19.23
ConvNextTiny,512,50x,heightmap,scratch,frozen,novote,30.17
ConvNextTiny,512,50x,heightmap,scratch,frozen,vote,32.69
ConvNextTiny,512,50x,heightmap,pretrained,unfrozen,novote,25.75
ConvNextTiny,512,50x,heightmap,pretrained,unfrozen,vote,27.88
ConvNextTiny,512,50x,heightmap,pretrained,frozen,novote,64.25
ConvNextTiny,512,50x,heightmap,pretrained,frozen,vote,57.69
ConvNextTiny,256,20x,texture,scratch,unfrozen,novote,30.68
ConvNextTiny,256,20x,texture,scratch,unfrozen,vote,35.2
ConvNextTiny,256,20x,texture,scratch,frozen,novote,28.04
ConvNextTiny,256,20x,texture,scratch,frozen,vote,28.65
ConvNextTiny,256,20x,texture,pretrained,unfrozen,novote,29.94
ConvNextTiny,256,20x,texture,pretrained,unfrozen,vote,30.14
ConvNextTiny,256,20x,texture,pretrained,frozen,novote,35.44
ConvNextTiny,256,20x,texture,pretrained,frozen,vote,38.88
ConvNextTiny,256,20x,heightmap,scratch,unfrozen,novote,33.23
ConvNextTiny,256,20x,heightmap,scratch,unfrozen,vote,40.61
ConvNextTiny,256,20x,heightmap,scratch,frozen,novote,23.62
ConvNextTiny,256,20x,heightmap,scratch,frozen,vote,28.07
ConvNextTiny,256,20x,heightmap,pretrained,unfrozen,novote,29.94
ConvNextTiny,256,20x,heightmap,pretrained,unfrozen,vote,30.14
ConvNextTiny,256,20x,heightmap,pretrained,frozen,novote,34.02
ConvNextTiny,256,20x,heightmap,pretrained,frozen,vote,37.19
ConvNextTiny,256,20x+50x,texture,scratch,unfrozen,novote,45.79
ConvNextTiny,256,20x+50x,texture,scratch,unfrozen,vote,44.09
ConvNextTiny,256,20x+50x,texture,scratch,frozen,novote,46.04
ConvNextTiny,256,20x+50x,texture,scratch,frozen,vote,54.32
ConvNextTiny,256,20x+50x,texture,pretrained,unfrozen,novote,37.71
ConvNextTiny,256,20x+50x,texture,pretrained,unfrozen,vote,40.0
ConvNextTiny,256,20x+50x,texture,pretrained,frozen,novote,56.14
ConvNextTiny,256,20x+50x,texture,pretrained,frozen,vote,62.27
ConvNextTiny,256,20x+50x,heightmap,scratch,unfrozen,novote,53.14
ConvNextTiny,256,20x+50x,heightmap,scratch,unfrozen,vote,58.41
ConvNextTiny,256,20x+50x,heightmap,scratch,frozen,novote,37.07
ConvNextTiny,256,20x+50x,heightmap,scratch,frozen,vote,43.41
ConvNextTiny,256,20x+50x,heightmap,pretrained,unfrozen,novote,37.71
ConvNextTiny,256,20x+50x,heightmap,pretrained,unfrozen,vote,40.0
ConvNextTiny,256,20x+50x,heightmap,pretrained,frozen,novote,51.32
ConvNextTiny,256,20x+50x,heightmap,pretrained,frozen,vote,54.55
ConvNextTiny,256,50x,texture,scratch,unfrozen,novote,24.17
ConvNextTiny,256,50x,texture,scratch,unfrozen,vote,23.08
ConvNextTiny,256,50x,texture,scratch,frozen,novote,40.38
ConvNextTiny,256,50x,texture,scratch,frozen,vote,45.19
ConvNextTiny,256,50x,texture,pretrained,unfrozen,novote,29.65
ConvNextTiny,256,50x,texture,pretrained,unfrozen,vote,28.85
ConvNextTiny,256,50x,texture,pretrained,frozen,novote,53.43
ConvNextTiny,256,50x,texture,pretrained,frozen,vote,56.73
ConvNextTiny,256,50x,heightmap,scratch,unfrozen,novote,37.86
ConvNextTiny,256,50x,heightmap,scratch,unfrozen,vote,35.58
ConvNextTiny,256,50x,heightmap,scratch,frozen,novote,22.3
ConvNextTiny,256,50x,heightmap,scratch,frozen,vote,23.08
ConvNextTiny,256,50x,heightmap,pretrained,unfrozen,novote,10.9
ConvNextTiny,256,50x,heightmap,pretrained,unfrozen,vote,4.81
ConvNextTiny,256,50x,heightmap,pretrained,frozen,novote,51.62
ConvNextTiny,256,50x,heightmap,pretrained,frozen,vote,55.77
ConvNextTiny,865,20x,texture,scratch,unfrozen,novote,22.53
ConvNextTiny,865,20x,texture,scratch,unfrozen,vote,28.48
ConvNextTiny,865,20x,texture,scratch,frozen,novote,33.1
ConvNextTiny,865,20x,texture,scratch,frozen,vote,34.18
ConvNextTiny,865,20x,texture,pretrained,unfrozen,novote,23.81
ConvNextTiny,865,20x,texture,pretrained,unfrozen,vote,27.85
ConvNextTiny,865,20x,texture,pretrained,frozen,novote,45.95
ConvNextTiny,865,20x,texture,pretrained,frozen,vote,43.04
ConvNextTiny,865,20x,heightmap,scratch,unfrozen,novote,23.81
ConvNextTiny,865,20x,heightmap,scratch,unfrozen,vote,27.85
ConvNextTiny,865,20x,heightmap,scratch,frozen,novote,36.81
ConvNextTiny,865,20x,heightmap,scratch,frozen,vote,31.01
ConvNextTiny,865,20x,heightmap,pretrained,unfrozen,novote,37.93
ConvNextTiny,865,20x,heightmap,pretrained,unfrozen,vote,27.85
ConvNextTiny,865,20x,heightmap,pretrained,frozen,novote,37.55
ConvNextTiny,865,20x,heightmap,pretrained,frozen,vote,36.08
ConvNextTiny,865,20x+50x,texture,scratch,unfrozen,novote,31.0
ConvNextTiny,865,20x+50x,texture,scratch,unfrozen,vote,40.83
ConvNextTiny,865,20x+50x,texture,scratch,frozen,novote,37.5
ConvNextTiny,865,20x+50x,texture,scratch,frozen,vote,36.67
ConvNextTiny,865,20x+50x,texture,pretrained,unfrozen,novote,30.0
ConvNextTiny,865,20x+50x,texture,pretrained,unfrozen,vote,28.33
ConvNextTiny,865,20x+50x,texture,pretrained,frozen,novote,54.5
ConvNextTiny,865,20x+50x,texture,pretrained,frozen,vote,56.67
ConvNextTiny,865,20x+50x,heightmap,scratch,unfrozen,novote,27.5
ConvNextTiny,865,20x+50x,heightmap,scratch,unfrozen,vote,29.17
ConvNextTiny,865,20x+50x,heightmap,scratch,frozen,novote,29.5
ConvNextTiny,865,20x+50x,heightmap,scratch,frozen,vote,29.17
ConvNextTiny,865,20x+50x,heightmap,pretrained,unfrozen,novote,22.5
ConvNextTiny,865,20x+50x,heightmap,pretrained,unfrozen,vote,26.67
ConvNextTiny,865,20x+50x,heightmap,pretrained,frozen,novote,52.0
ConvNextTiny,865,20x+50x,heightmap,pretrained,frozen,vote,56.67
ConvNextTiny,865,50x,texture,scratch,unfrozen,novote,39.5
ConvNextTiny,865,50x,texture,scratch,unfrozen,vote,46.15
ConvNextTiny,865,50x,texture,scratch,frozen,novote,40.5
ConvNextTiny,865,50x,texture,scratch,frozen,vote,33.65
ConvNextTiny,865,50x,texture,pretrained,unfrozen,novote,50.5
ConvNextTiny,865,50x,texture,pretrained,unfrozen,vote,27.88
ConvNextTiny,865,50x,texture,pretrained,frozen,novote,74.0
ConvNextTiny,865,50x,texture,pretrained,frozen,vote,53.85
ConvNextTiny,865,50x,heightmap,scratch,unfrozen,novote,62.0
ConvNextTiny,865,50x,heightmap,scratch,unfrozen,vote,26.92
ConvNextTiny,865,50x,heightmap,scratch,frozen,novote,58.5
ConvNextTiny,865,50x,heightmap,scratch,frozen,vote,29.81
ConvNextTiny,865,50x,heightmap,pretrained,unfrozen,novote,50.5
ConvNextTiny,865,50x,heightmap,pretrained,unfrozen,vote,27.88
ConvNextTiny,865,50x,heightmap,pretrained,frozen,novote,75.5
ConvNextTiny,865,50x,heightmap,pretrained,frozen,vote,52.88
